N° auto;nom;adresse;complément;code INSEE;commune;région administrative;geo_ban;geo_insee;corrdonnees_finales
54292;LA BARBACANE;PLACE DU 8 MAI 1945;;78062;Beynes;ILE-DE-FRANCE;48.855732, 1.875104;48.854444414, 1.86989017513;48.855732, 1.875104
119305;PATHE 1;RUE DE L'HAUTIL;ZA LES BOUTRIES;78172;Conflans-Sainte-Honorine;ILE-DE-FRANCE;49.004829, 2.077668;49.0001007823, 2.0990719052;49.004829, 2.077668
106262;LOUIS JOUVET;3 PLACE MAURICE BERTEAUX;;78146;Chatou;ILE-DE-FRANCE;48.886917, 2.156299;48.8965574645, 2.15393458329;48.886917, 2.156299
437561;STUDIO  DES CHAMPS LASNIERS;AVENUE DU BERRY;;91692;Les Ulis;ILE-DE-FRANCE;48.682507, 2.169714;48.680321482, 2.18518955;48.682507, 2.169714
258952;LA LUCIOLE;1 ROUTE DE PONTOISE;;95394;Méry-sur-Oise;ILE-DE-FRANCE;49.060326, 2.170288;49.0548422566, 2.17397254184;49.060326, 2.170288
120963;THEATRE DU CORMIER;123 RUE DE SAINT-GERMAIN;;95176;Cormeilles-en-Parisis;ILE-DE-FRANCE;48.959824, 2.189151;48.9682249677, 2.19921349468;48.959824, 2.189151
347164;CENTRE CULTUREL EDMOND ROSTAND;20 BD EDMOND ROSTAND;;92063;Rueil-Malmaison;ILE-DE-FRANCE;48.874384, 2.19011;48.8691897371, 2.1773406315;48.874384, 2.19011
108192;L'ATRIUM;3 PARVIS ROBERT SCHUMAN;;92022;Chaville;ILE-DE-FRANCE;48.813094, 2.192579;48.8076083562, 2.19234061062;48.813094, 2.192579
201524;CONTI 3;PLACE DU PATIS;;95313;L'Isle-Adam;ILE-DE-FRANCE;49.110771, 2.211976;49.1072255924, 2.23436241795;49.110771, 2.211976
362414;S E L (SEVRES ESPACE LOISIRS;47 GRANDE RUE;;92072;Sèvres;ILE-DE-FRANCE;48.824901, 2.214812;48.821476509, 2.21052297438;48.824901, 2.214812
370411;LE CAPITOLE 1;3 RUE LEDRU ROLLIN;;92073;Suresnes;ILE-DE-FRANCE;48.871363, 2.229109;48.8698479132, 2.21965517625;48.871363, 2.229109
327961;LE CENTRAL 1;134 RUE DE LA REPUBLIQUE;;92062;Puteaux;ILE-DE-FRANCE;48.885137, 2.239127;48.8837094969, 2.23834178314;48.885137, 2.239127
23323;LE FIGUIER BLANC 1 (EX-GALILEE 2);3TER RUE GREGOIRE COLLAS;;95018;Argenteuil;ILE-DE-FRANCE;48.943679, 2.24855;48.9511344629, 2.2410409502;48.943679, 2.24855
314413;CINEMA GERAR PHILIPE - SALLE 1;1 PLACE JANE RHODES;;92060;Le Plessis-Robinson;ILE-DE-FRANCE;48.777607, 2.254424;48.7804383642, 2.26064286011;48.777607, 2.254424
123914;ABEL GANCE;184 BD ST DENIS;;92026;Courbevoie;ILE-DE-FRANCE;48.901327, 2.271867;48.8984504771, 2.25570587289;48.901327, 2.271867
442002;LE VANVES;12 RUE SADI CARNOT;;92075;Vanves;ILE-DE-FRANCE;48.821779, 2.287439;48.8215227089, 2.28739490768;48.821779, 2.287439
2543;MAC MAHON;5/7 AV MAC MAHON;;75117;Paris 17me;ILE-DE-FRANCE;48.875715, 2.294655;48.8873371665, 2.30748555949;48.875715, 2.294655
147071;FRANCAIS 1;38 RUE DU GENERAL DE GAULLE;;95210;Enghien-les-Bains;ILE-DE-FRANCE;48.970841, 2.307185;48.97016048, 2.30485955429;48.970841, 2.307185
115104;CINEMA RUTEBEUF;16-18  ALLEES LEON-GAMBETTA;;92024;Clichy;ILE-DE-FRANCE;48.90196, 2.309342;48.9035359139, 2.30575230452;48.90196, 2.309342
802;UGC ROTONDE 1;103 BD DU MONTPARNASSE;;75106;Paris 6me;ILE-DE-FRANCE;48.842318, 2.328975;48.8489680919, 2.33267089859;48.842318, 2.328975
457861;ANDRE MALRAUX;28 AVENUE DE VERDUN;;92078;Villeneuve-la-Garenne;ILE-DE-FRANCE;48.935662, 2.333275;48.9364061917, 2.32448995943;48.935662, 2.333275
