Titre;Réalisateur;Adresse;Organisme Demandeur;Type de tournage;Arrondissement;Date debut;Date fin;xy
COUP DE FOUDRE A JAIPUR;ARNAULD MERCADIER;RUE  ROCHER/DE MADRID ET PORTALIS;BIG BAND STORY;TELEFILM;75008;2016-03-31;2016-03-31;48.878256, 2.320229
COUP DE FOUDRE A JAIPUR;ARNAULD MERCADIER;PLACE  HENRI BERGSON;BIG BAND STORY;TELEFILM;75008;2016-03-31;2016-03-31;48.876236, 2.320483
COUP DE FOUDRE A JAIPUR;ARNAULD MERCADIER;PLACE  SAINT AUGUSTIN;BIG BAND STORY;TELEFILM;75008;2016-03-31;2016-03-31;48.875273, 2.319789
COUP DE FOUDRE A JAIPUR;ARNAULD MERCADIER;12  PLACE  SAINT AUGUSTIN;BIG BAND STORY;TELEFILM;75008;2016-03-31;2016-03-31;48.875605, 2.319672
NADIA;LEA MAZER;36  RUE  DU RENDEZ VOUS;MURMURES PRODUCTIONS;TELEFILM;75012;2016-04-12;2016-04-12;48.845919, 2.402947
NADIA;LEA MAZER;146  RUE  DU FAUBOURG POISSONNIERE;MURMURES PRODUCTIONS;TELEFILM;75009;2016-04-15;2016-04-15;48.87758, 2.349026
NADIA;LEA MAZER;RUE  CLOVIS;MURMURES PRODUCTIONS;TELEFILM;75005;2016-04-25;2016-04-25;48.845998, 2.349665
LA BETE CURIEUSE;LAURENT PERREAU;PORTE  DE CLICHY/SOUS LE PERIPHERIQUE;EX NIHILO;TELEFILM;75017;2016-05-06;2016-05-06;48.894847, 2.312146
LA BETE CURIEUSE;LAURENT PERREAU;PARC  MONTSOURIS;EX NIHILO;TELEFILM;75014;2016-05-10;2016-05-10;48.822372, 2.334367
LE MEC DE LA TOMBE D'A COTE;AGNES OBDIA;AVENUE  DU PRESIDENT WILSON;3EME OEIL STORY;TELEFILM;75016;2016-08-01;2016-08-01;48.864614, 2.29457
UNE FEMME D'EXCEPTION;ERIC GUIRADO;4  RUE  COLETTE;CINETEVE;TELEFILM;75017;2016-08-16;2016-08-16;48.893594, 2.327087
UNE FEMME D'EXCEPTION;ERIC GUIRADO;RUE  MARIA DERAISME;CINETEVE;TELEFILM;75017;2016-08-16;2016-08-16;48.894201, 2.327187
UNE FEMME D'EXCEPTION;ERIC GUIRADO;34  QUAI  DE LA MARNE;CINETEVE;TELEFILM;75019;2016-10-05;2016-10-05;48.890336, 2.384201
JE VOULAIS JUSTE RENTRER CHEZ MOI;YVES RENIER;292  RUE  SAINT MARTIN;CHABRAQUE PRODUCTIONS;TELEFILM;75003;2016-11-21;2016-11-21;48.866961, 2.354634
LOVE LOCKS;MARTIN WOOD;RUE  MAZARINE;LES FILMS DU MARIGOT;TELEFILM;75006;2016-11-29;2016-11-29;48.854893, 2.337826
LOVE LOCKS;MARTIN WOOD;QUAI  MALAQUAIS;LES FILMS DU MARIGOT;TELEFILM;75006;2016-11-29;2016-11-29;48.857914, 2.334555
LOVE LOCKS;MARTIN WOOD;PLACE  DAUPHINE;LES FILMS DU MARIGOT;TELEFILM;75001;2016-11-30;2016-11-30;48.856822, 2.342303
JE VOULAIS JUSTE RENTRER CHEZ MOI;YVES RENIER;21  BOULEVARD  SAINT MARCEL;CHABRAQUE PRODUCTIONS;TELEFILM;75013;2016-12-08;2016-12-08;48.838067, 2.356564
BLACKPILLS/RAISING HITLER;LOUIS FARGE;AVENUE  WINSTON CHURCHILL;TOGETHER MEDIA 2;SERIE TELEVISEE;75008;2016-09-27;2016-09-27;48.86609, 2.313763
10%/SAISON 2;JEANNE HERRY;PLACE  SAINT GEORGES;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75009;2016-09-29;2016-09-29;48.878549, 2.337525
10%/SAISON 2;JEANNE HERRY;RUE  IRENEE BLANC;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75020;2016-09-30;2016-09-30;48.86592, 2.407964
ALICE NEVERS, LE JUGE EST UNE FEMME/84 ET 85;ERIC LE ROUX;RUE  DE HARLEY;EGO PRODUCTION;SERIE TELEVISEE;75001;2016-09-30;2016-09-30;48.859868, 2.346812
ALICE NEVERS, LE JUGE EST UNE FEMME/84 ET 85;ERIC LE ROUX;JARDIN*  DES GRANDS EXPLORATEURS;EGO PRODUCTION;SERIE TELEVISEE;75006;2016-10-01;2016-10-01;
CHRONIQUES PARISIENNES;ZABOU BREITMAN;RUE  LOBAU;LES FILMS DU KIOSQUE;SERIE TELEVISEE;75004;2016-10-01;2016-10-01;48.856204, 2.353258
CHRONIQUES PARISIENNES;ZABOU BREITMAN;PORT  DE SOLFERINO;LES FILMS DU KIOSQUE;SERIE TELEVISEE;75007;2016-10-01;2016-10-01;48.862132, 2.32236
LEO MATTEI/14 ET 15;NICOLAS HERDT;12  AVENUE  TRUDAINE (LYCEE JACQUES DECOUR);LGM CINEMA;SERIE TELEVISEE;75009;2016-10-01;2016-10-01;48.881483, 2.343411
10%/SAISON 2;JEANNE HERRY;RUE  DE NANTES;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75019;2016-10-03;2016-10-03;48.891991, 2.381936
10%/SAISON 2;JEANNE HERRY;QUAI  DE LA SEINE;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75019;2016-10-03;2016-10-03;48.886466, 2.373834
10%/SAISON 2;JEANNE HERRY;RUE  ET PONT DE CRIMEE;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75019;2016-10-03;2016-10-03;48.885821, 2.382394
ENGRENAGES SAISON 6/N° 7 A 12;FREDERIC MERMOUD;PLACE  DE LA PORTE DE CHAMPERRET;SON ET LUMIERE;SERIE TELEVISEE;75017;2016-10-03;2016-10-03;48.885799, 2.290286
ALICE NEVERS, LE JUGE EST UNE FEMME/84 ET 85;ERIC LE ROUX;34  RUE  RAMEY;EGO PRODUCTION;SERIE TELEVISEE;75018;2016-10-05;2016-10-06;48.889382, 2.346353
ENGRENAGES SAISON 6/N° 7 A 12;FREDERIC MERMOUD;1/3  RUE  HENRI RIBIERE;SON ET LUMIERE;SERIE TELEVISEE;75019;2016-10-06;2016-10-06;48.876358, 2.395117
LEO MATTEI/14 ET 15;NICOLAS HERDT;PONT  MORLAND;LGM CINEMA;SERIE TELEVISEE;75004;2016-10-06;2016-10-06;48.84726, 2.365669
